date,prev_close,open,high,low,close,volume,value
20170504,6197.4779,6180.0292,6236.8865,6151.8088,6176.3053,7690593400,89277372500.0
20170505,6176.3053,6155.1974,6164.2461,6089.0909,6089.6828,7099534800,80605447500.0
20170508,6089.6828,6076.458,6083.362,5975.2213,5975.5395,6670464600,75777376900.0
20170509,5975.5395,5953.8391,6012.4429,5919.5993,6012.0016,5472699300,62722952700.0
20170510,6012.0016,6010.7303,6038.9734,5885.5213,5885.841,6264566000,71467192500.0
20170511,5885.841,5856.4147,5873.9064,5731.4825,5872.6391,7256569900,76992639700.0
20170512,5872.6391,5859.3374,5889.93,5820.2939,5863.7832,5628302600,62122946100.0
20170515,5863.7832,5880.6961,5912.2661,5880.6961,5893.5075,4937647600,58448622200.0
20170516,5893.5075,5882.3298,6014.8806,5839.2197,6014.7344,7286228900,83337162300.0
20170517,6014.7344,6006.4691,6055.9183,6001.0394,6027.6504,7271521900,84031216900.0
20170518,6027.6504,5983.3497,6030.109,5965.3503,5976.2998,5962031300,70404129800.0
20170519,5976.2998,5973.768,5990.4353,5942.6096,5974.9772,5464489400,64143344100.0
20170522,5974.9772,5962.2861,5987.3066,5873.0412,5888.8127,6047712400,65587853000.0
20170523,5888.8127,5879.5592,5893.816,5760.3248,5764.8759,6441393100,70178262000.0
20170524,5764.8759,5740.4428,5799.6834,5668.7221,5799.2499,5813084700,62845340500.0
20170525,5799.2499,5788.5567,5859.5019,5740.7985,5850.8006,7014976800,74734520000.0
20170526,5850.8006,5843.5212,5871.2139,5833.0876,5836.9338,5883597300,65182973600.0
20170531,5836.9338,5887.9405,5913.1835,5820.2063,5824.1042,5845523800,66187360400.0
20170601,5824.1042,5810.4191,5810.5989,5709.6885,5709.9994,6027890500,65490263800.0
20170602,5709.9994,5696.8285,5780.5015,5655.762,5772.5174,5840433200,61019488000.0
20170605,5772.5174,5778.1891,5830.0525,5777.9509,5815.8022,5390450500,59299187600.0
20170606,5815.8022,5808.9716,5841.8803,5793.4367,5841.5232,4826656700,52667107200.0
20170607,5841.5232,5838.8814,5955.0236,5836.4411,5955.0153,7466605900,81742004600.0
20170608,5955.0153,5947.975,5972.7277,5940.7235,5958.977,6600420500,74149457200.0
20170609,5958.977,5952.4061,5971.5251,5922.7285,5969.2741,6162319000,68994288000.0
20170612,5969.2741,5943.6443,5950.0431,5896.4049,5902.8551,5989752300,69669967900.0
20170613,5902.8551,5895.4692,5986.8692,5894.2253,5980.0566,6039601600,70716843400.0
20170614,5980.0566,5976.0141,5992.7818,5958.2003,5966.4314,6044714300,70890607300.0
20170615,5966.4314,5959.4746,6024.3764,5959.1892,6021.1651,6445782200,72645441300.0
20170616,6021.1651,6016.9727,6027.395,6003.2623,6012.9996,5643824400,65735333500.0
20170619,6012.9996,6010.9392,6057.4115,6009.2243,6057.4115,5873211700,66722713500.0
20170620,6057.4115,6061.1098,6089.8121,6058.6882,6066.9046,6609277700,77751670400.0
20170621,6066.9046,6074.6095,6080.5326,6035.2737,6078.1925,5616205800,66158743100.0
20170622,6078.1925,6074.3663,6094.5533,5992.3352,5992.3352,6858416000,81580208200.0
20170623,5992.3352,5978.2385,6010.3137,5923.5507,6010.3137,6296696800,73277075500.0
20170626,6010.3137,6013.4788,6111.707,6011.8591,6111.6406,6926573400,85579876300.0
